Version,Name,LTS?,Released,Server Support,Kernel,Image
4.10,Warty Warthog,,10/20/04,,2.6.8,http://www.flickriver.com/photos/arnolouise/364323315/
5.04,Hoary Hedgehog,,4/8/05,,2.6.10,http://i.dailymail.co.uk/i/pix/2009/10/08/article-1218989-06BF47DC000005DC-147_634x359.jpg
5.10,Breezy Badger,,10/12/05,,2.6.12,http://www.savethebadger.com/badgercubs.jpg
6.06,Dapper Drake,LTS,6/1/06,,2.6.15,http://scalingmountlu.files.wordpress.com/2013/03/maleduck.jpg
6.10,Edgy Eft,,10/26/06,,2.6.17,http://upload.wikimedia.org/wikipedia/commons/4/4e/Eastern_Newt.jpg
7.04,Feisty Fawn,,4/19/07,,2.6.20,http://upload.wikimedia.org/wikipedia/commons/c/cf/Fawn_in_Forest_edit.jpg
7.10,Gutsy Gibbon,,10/18/07,,2.6.22,http://upload.wikimedia.org/wikipedia/commons/4/4d/Agilegibbon.jpg
8.04,Hardy Heron,LTS,4/24/08,,2.6.24,http://en.wikipedia.org/wiki/File:GBHfish5.jpg
8.10,Intrepid Ibex,,10/30/08,,2.6.27,http://en.wikipedia.org/wiki/File:Siberian_Ibex.jpg
9.04,Jaunty Jackalope,,4/23/09,,2.6.28,http://spookspot.files.wordpress.com/2009/11/jackalope.jpg
9.10,Karmic Koala,,10/29/09,,2.6.31,http://upload.wikimedia.org/wikipedia/commons/thumb/4/49/Koala_climbing_tree.jpg/610px-Koala_climbing_tree.jpg
10.04,Lucid Lynx,LTS,4/29/10,4/1/15,2.6.32,http://upload.wikimedia.org/wikipedia/commons/a/a0/Lynx_pardinus.png
10.10,Maverick Meerkat,,10/10/10,,2.6.35,http://upload.wikimedia.org/wikipedia/commons/a/ad/Suricates%2C_Namibia-2.jpg
11.04,Natty Narwhal,,4/28/11,,2.6.38,
11.10,Oneiric Ocelot,,10/13/11,,3.0,
12.04,Precise Pangolin,LTS,4/26/12,4/1/17,3.2,
12.10,Quantal Quetzal,,10/18/12,4/1/14,3.5,
13.04,Raring Ringtail,,4/25/13,1/27/14,3.8,
13.10,Saucy Salamander,,10/17/13,7/1/14,3.11,
14.04,Trusty Tahr,LTS,4/17/14,4/1/19,TBA,
